,year,month,transportation_type,total_ridership,total_miles,avg_price,bus,rail
0,2017,1,all bus,22171342,91829069,2.8608000000000002,1,0
1,2017,1,rail,9618184,60360690,2.8608000000000002,0,1
2,2017,2,all bus,21604148,88971760,2.9885,1,0
3,2017,2,rail,8724128,54558747,2.9885,0,1
4,2017,3,all bus,25794248,105735588,3.03575,1,0
5,2017,3,rail,9878705,61765320,3.03575,0,1
6,2017,4,all bus,23611510,97413240,3.0385,1,0
7,2017,4,rail,9048825,56581776,3.0385,0,1
8,2017,5,all bus,25086327,102948303,3.056,1,0
9,2017,5,rail,9542813,59650773,3.056,0,1
10,2017,6,all bus,23716670,98511426,2.9899999999999998,1,0
11,2017,6,rail,9540438,59673331,2.9899999999999998,0,1
12,2017,7,all bus,22942241,96646951,2.9356,1,0
13,2017,7,rail,9312002,59749765,2.9356,0,1
14,2017,8,all bus,24861705,103145826,3.039,1,0
15,2017,8,rail,9869414,63192363,3.039,0,1
16,2017,9,all bus,24113300,99076625,3.1705,1,0
17,2017,9,rail,9122300,58517133,3.1705,0,1
18,2017,10,all bus,25331595,103709738,3.0706,1,0
19,2017,10,rail,9634347,61718470,3.0706,0,1
20,2017,11,all bus,23298641,95035353,3.2895000000000003,1,0
21,2017,11,rail,9318345,59719636,3.2895000000000003,0,1
22,2017,12,all bus,22176563,90962299,3.1405,1,0
23,2017,12,rail,9173574,58949959,3.1405,0,1
24,2018,1,all bus,22675482,93802239,3.3120000000000003,1,0
25,2018,1,rail,9465194,60587604,3.3120000000000003,0,1
26,2018,2,all bus,21958972,89930528,3.4645,1,0
27,2018,2,rail,8458032,54017263,3.4645,0,1
28,2018,3,all bus,23214316,96031293,3.50725,1,0
29,2018,3,rail,9157324,58516300,3.50725,0,1
30,2018,4,all bus,23331877,96162423,3.594,1,0
31,2018,4,rail,8715000,55722442,3.594,0,1
32,2018,5,all bus,24198091,99564516,3.6395,1,0
33,2018,5,rail,9063836,57885731,3.6395,0,1
34,2018,6,all bus,22691252,94721753,3.60525,1,0
35,2018,6,rail,8850125,56540566,3.60525,0,1
36,2018,7,all bus,22105750,93895476,3.5206000000000004,1,0
37,2018,7,rail,8930799,58697871,3.5206000000000004,0,1
38,2018,8,all bus,24128752,100644109,3.47825,1,0
39,2018,8,rail,9281648,60888241,3.47825,0,1
40,2018,9,all bus,22965413,95216929,3.512,1,0
41,2018,9,rail,8582641,56392839,3.512,0,1
42,2018,10,all bus,25080291,103469372,3.7062,1,0
43,2018,10,rail,9458742,62068188,3.7062,0,1
44,2018,11,all bus,22438608,92664323,3.55225,1,0
45,2018,11,rail,9005536,59253774,3.55225,0,1
46,2018,12,all bus,20988857,87041054,3.274,1,0
47,2018,12,rail,9048648,59650966,3.274,0,1
48,2019,1,all bus,21263765,89331543,3.134,1,0
49,2019,1,rail,9310633,61226780,3.134,0,1
50,2019,2,all bus,20883716,89026316,3.16825,1,0
51,2019,2,rail,7620252,49260466,3.16825,0,1
52,2019,3,all bus,23562034,100335472,3.2625,1,0
53,2019,3,rail,8193412,53112677,3.2625,0,1
54,2019,4,all bus,23691650,101114800,3.8342,1,0
55,2019,4,rail,8061524,52040036,3.8342,0,1
56,2019,5,all bus,24351954,103155908,3.90875,1,0
57,2019,5,rail,8083937,52163130,3.90875,0,1
58,2019,6,all bus,22286620,93158155,3.68025,1,0
59,2019,6,rail,7151870,45666200,3.68025,0,1
60,2019,7,all bus,23735873,104147063,3.5742,1,0
61,2019,7,rail,7380609,46997992,3.5742,0,1
62,2019,8,all bus,24649209,106872870,3.45225,1,0
63,2019,8,rail,7280442,46370410,3.45225,0,1
64,2019,9,all bus,24102718,104224202,3.6142000000000003,1,0
65,2019,9,rail,6886732,43775854,3.6142000000000003,0,1
66,2019,10,all bus,26065766,111837034,4.02225,1,0
67,2019,10,rail,7413475,46968924,4.02225,0,1
68,2019,11,all bus,21760680,90388640,3.85375,1,0
69,2019,11,rail,7721280,50243062,3.85375,0,1
70,2019,12,all bus,20954860,86267847,3.5298000000000003,1,0
71,2019,12,rail,8067732,52669627,3.5298000000000003,0,1
72,2020,1,all bus,21987685,90607933,3.41525,1,0
73,2020,1,rail,8509996,55611720,3.41525,0,1
74,2020,2,all bus,21767867,88890184,3.39,1,0
75,2020,2,rail,8059632,52746306,3.39,0,1
76,2020,3,all bus,15323805,56492598,3.2036000000000002,1,0
77,2020,3,rail,5194021,33969756,3.2036000000000002,0,1
78,2020,4,all bus,7448380,24743852,2.75575,1,0
79,2020,4,rail,2587434,16752717,2.75575,0,1
80,2020,5,all bus,9096081,28559688,2.6799999999999997,1,0
81,2020,5,rail,3007324,19504993,2.6799999999999997,0,1
82,2020,6,all bus,10679063,32440814,2.8766,1,0
83,2020,6,rail,3657843,23504443,2.8766,0,1
84,2020,7,all bus,12358264,38950765,3.0045,1,0
85,2020,7,rail,3524809,21154538,3.0045,0,1
86,2020,8,all bus,12351879,36497522,3.0463999999999998,1,0
87,2020,8,rail,3419779,20567669,3.0463999999999998,0,1
88,2020,9,all bus,12517047,37107593,3.05625,1,0
89,2020,9,rail,3512079,21116019,3.05625,0,1
90,2020,10,all bus,13344759,39252611,3.021,1,0
91,2020,10,rail,3770991,22630160,3.021,0,1
92,2020,11,all bus,12404616,36563994,2.9726,1,0
93,2020,11,rail,3471518,20702572,2.9726,0,1
94,2020,12,all bus,11892082,35251783,3.01,1,0
95,2020,12,rail,3203523,19139743,3.01,0,1
96,2021,1,all bus,10541528,32003138,3.1455,1,0
97,2021,1,rail,3018826,18060643,3.1455,0,1
98,2021,2,all bus,10874044,32415928,3.3665000000000003,1,0
99,2021,2,rail,3002600,18040001,3.3665000000000003,0,1
100,2021,3,all bus,12955673,38379965,3.6996,1,0
101,2021,3,rail,3494600,20986439,3.6996,0,1
102,2021,4,all bus,13592784,39246694,3.81325,1,0
103,2021,4,rail,3597602,21605013,3.81325,0,1
104,2021,5,all bus,14151624,40872010,3.9682000000000004,1,0
105,2021,5,rail,3738850,22474785,3.9682000000000004,0,1
106,2021,6,all bus,14797538,42580950,4.0735,1,0
107,2021,6,rail,4004502,24181985,4.0735,0,1
108,2021,7,all bus,15891209,47835762,4.15,1,0
109,2021,7,rail,4133184,23185962,4.15,0,1
110,2021,8,all bus,17189204,49982299,4.189400000000001,1,0
111,2021,8,rail,4283970,23953042,4.189400000000001,0,1
112,2021,9,all bus,17384550,49638683,4.18825,1,0
113,2021,9,rail,49638683,24887520,4.18825,0,1
114,2021,10,all bus,18279993,52518683,4.2787500000000005,1,0
115,2021,10,rail,4771898,26718851,4.2787500000000005,0,1
116,2021,11,all bus,17727232,51370377,4.4636,1,0
117,2021,11,rail,4759577,26615616,4.4636,0,1
118,2021,12,all bus,16473795,48021923,4.4725,1,0
119,2021,12,rail,4623026,25738547,4.4725,0,1
120,2022,1,all bus,14290983,48280026,4.4728,1,0
121,2022,1,rail,4475777,25005273,4.4728,0,1
122,2022,2,all bus,14176356,49668288,4.5645,1,0
123,2022,2,rail,4538012,25502131,4.5645,0,1
124,2022,3,all bus,16637041,58626695,5.594250000000001,1,0
125,2022,3,rail,5509095,30858553,5.594250000000001,0,1
126,2022,4,all bus,16157225,57122104,5.623,1,0
127,2022,4,rail,4970089,27892216,5.623,0,1
128,2022,5,all bus,16918219,59213851,5.748600000000001,1,0
129,2022,5,rail,5023207,28244233,5.748600000000001,0,1
130,2022,6,all bus,16526336,58259882,6.157,1,0
131,2022,6,rail,4913060,27633743,6.157,0,1
132,2022,7,all bus,16019010,57732728,5.7745,1,0
133,2022,7,rail,4918618,29263929,5.7745,0,1
134,2022,8,all bus,17482624,62118811,5.1724000000000006,1,0
135,2022,8,rail,5157288,30750453,5.1724000000000006,0,1
136,2022,9,all bus,17584817,61890322,5.21575,1,0
137,2022,9,rail,5226189,31180305,5.21575,0,1
138,2022,10,all bus,18596504,64646200,5.7508,1,0
139,2022,10,rail,5626682,33276467,5.7508,0,1
140,2022,11,all bus,16948386,59911091,5.0315,1,0
141,2022,11,rail,5206301,30819176,5.0315,0,1
142,2022,12,all bus,16614874,59192246,4.2895,1,0
143,2022,12,rail,5001677,29376251,4.2895,0,1
144,2023,1,all bus,16469953,58759275,4.265,1,0
145,2023,1,rail,5175891,30392694,4.265,0,1
146,2023,2,all bus,16342624,57435004,4.49325,1,0
147,2023,2,rail,5089788,29937418,4.49325,0,1
148,2023,3,all bus,18114248,64212580,4.6935,1,0
149,2023,3,rail,5541739,32610699,4.6935,0,1
150,2023,4,all bus,18226740,64580155,4.66925,1,0
151,2023,4,rail,5434555,31788523,4.66925,0,1
152,2023,5,all bus,19533498,68040277,4.6354,1,0
153,2023,5,rail,5631910,32909749,4.6354,0,1
154,2023,6,all bus,18679084,65576326,4.69125,1,0
155,2023,6,rail,5432284,31768874,4.69125,0,1
156,2023,7,all bus,17913190,64426516,4.735200000000001,1,0
157,2023,7,rail,5608981,35688578,4.735200000000001,0,1
158,2023,8,all bus,19539621,69083909,5.05575,1,0
159,2023,8,rail,5772672,36971045,5.05575,0,1
160,2023,9,all bus,19566970,68357215,5.48125,1,0
161,2023,9,rail,5333935,34453403,5.48125,0,1
162,2023,10,all bus,20919709,72570592,5.4466,1,0
163,2023,10,rail,5805920,37586242,5.4466,0,1
164,2023,11,all bus,19171550,67000542,4.77925,1,0
165,2023,11,rail,5225551,34106166,4.77925,0,1
166,2023,12,all bus,18445490,64335320,4.425,1,0
167,2023,12,rail,5112120,33348001,4.425,0,1
